name,prefecture,url,kencd,beginner_pct,intermediate_pct,advanced_pct,fetched_at
鳥取・島根  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=28,10,30,50,20,2026-01-17T18:15:51
湯沢・中越・下越  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=14,10,42,25,33,2026-01-17T18:15:53
乗鞍・木曽  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=32,10,30,40,30,2026-01-17T18:15:56
那須・塩原  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=10,10,30,40,30,2026-01-17T18:15:58
八ヶ岳・蓼科・富士  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=17,10,30,40,30,2026-01-17T18:16:03
飛騨  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=21,10,30,35,35,2026-01-17T18:16:06
石川  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=23,10,50,30,20,2026-01-17T18:16:08
草津・嬬恋・万座  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=12,10,50,30,20,2026-01-17T18:16:10
富山  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=22,10,40,40,20,2026-01-17T18:16:13
四国  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=30,10,30,50,20,2026-01-17T18:16:15
福井  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=24,10,30,40,30,2026-01-17T18:16:17
沼田・みなかみ  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=11,10,30,40,30,2026-01-17T18:16:19
岡山・広島・山口  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?areacdm=29,10,30,40,30,2026-01-17T18:16:22
ワ行  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?initial=S10000,10,40,30,30,2026-01-17T18:16:26
道央自動車道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=009,10,40,40,20,2026-01-17T18:16:28
関越自動車道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=003,10,30,40,30,2026-01-17T18:16:31
八戸高速道路  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=012,10,30,40,30,2026-01-17T18:16:33
中国自動車道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=008,10,40,40,20,2026-01-17T18:16:36
上信越自動車道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=004,10,30,50,20,2026-01-17T18:16:39
東名高速道路  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=016,10,20,60,20,2026-01-17T18:16:41
タ行  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?initial=S04000,10,50,30,20,2026-01-17T18:16:43
東海北陸自動車道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=006,10,45,40,15,2026-01-17T18:16:46
名神高速道路  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=017,10,20,70,10,2026-01-17T18:16:48
秋田自動車道  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?pcd=002&cd=013,10,30,35,35,2026-01-17T18:16:50
ラ行  スキー場情報,,https://surfsnow.jp/search/list/spl_area01.php?initial=S09000,10,35,40,25,2026-01-17T18:16:53
